"Index" "US_CPI" "US_CPI_CORE" "US_CPI_FOOD_BEVERAGES" "US_CPI_HOUSING" "US_CPI_TRANSPORT" "US_CPI_MED_CARE" "US_CPI_GOODS_SERVICES"
"2001-10-31" "2001-10-31" 177.6 187.4 175.3 176.9 152.9 276.3 285.6
"2001-11-30" "2001-11-30" 177.5 188.1 175.4 177.5 150.2 277.4 289.3
"2001-12-31" "2001-12-31" 177.4 188.4 175.2 177.9 149.2 278.2 286.8
"2002-01-31" "2002-01-31" 177.7 188.7 175.8 178.3 149.3 279.8 287.5
"2002-02-28" "2002-02-28" 178 189.1 176.2 178.7 148.7 280.4 290.1
"2002-03-31" "2002-03-31" 178.5 189.2 176.6 179 150.5 281.4 288.2
"2002-04-30" "2002-04-30" 179.3 189.7 176.9 179.5 152.5 282.7 292.5
"2002-05-31" "2002-05-31" 179.5 190 176.4 179.8 152.8 283.9 291.3
"2002-06-30" "2002-06-30" 179.6 190.2 176.5 180 152.8 284.6 294.4
"2002-07-31" "2002-07-31" 180 190.5 176.7 180.2 153.3 286.4 294.5
"2002-08-31" "2002-08-31" 180.5 191.1 176.7 180.7 154 287.2 296.1
"2002-09-30" "2002-09-30" 180.8 191.3 177 181.1 154.2 288.1 297.2
"2002-10-31" "2002-10-31" 181.2 191.5 177 181.5 155.5 289.8 295.4
"2002-11-30" "2002-11-30" 181.5 191.9 177.5 182 155.4 291.2 295.7
"2002-12-31" "2002-12-31" 181.8 192.1 177.7 182.3 155.3 292.1 296
"2003-01-31" "2003-01-31" 182.6 192.4 177.7 182.9 158 292.7 296.7
"2003-02-28" "2003-02-28" 183.6 192.5 178.7 183.4 160.8 293 297.4
"2003-03-31" "2003-03-31" 183.9 192.5 179 184.2 160.8 293.4 297.1
"2003-04-30" "2003-04-30" 183.2 192.5 179.1 184 157.7 294 297.7
"2003-05-31" "2003-05-31" 182.9 192.9 179.4 184.6 154.4 295.2 297.8
"2003-06-30" "2003-06-30" 183.1 193 180.3 184.6 154.6 296.1 298
"2003-07-31" "2003-07-31" 183.7 193.4 180.4 184.9 155.7 297.4 299.1
"2003-08-31" "2003-08-31" 184.5 193.6 181.1 185.2 158.2 298.3 299.8
"2003-09-30" "2003-09-30" 185.1 193.7 181.5 185.5 159.9 299.8 300.2
"2003-10-31" "2003-10-31" 184.9 194 182.2 185.9 157.5 300.4 300.3
"2003-11-30" "2003-11-30" 185 194 183.1 186 156.9 301.4 300.2
"2003-12-31" "2003-12-31" 185.5 194.2 184 186.4 157.4 303 300.6
"2004-01-31" "2004-01-31" 186.3 194.6 183.9 186.9 159.8 303.8 301.7
"2004-02-29" "2004-02-29" 186.7 194.9 184.3 187.1 160.7 305.2 302
"2004-03-31" "2004-03-31" 187.1 195.5 184.7 187.7 160.8 306.5 302.7
"2004-04-30" "2004-04-30" 187.4 195.9 185.1 188.3 159.8 307.8 303.2
"2004-05-31" "2004-05-31" 188.2 196.2 186.5 188.9 161.6 308.6 303.4
"2004-06-30" "2004-06-30" 188.9 196.6 186.9 189.5 162.8 309.8 303.8
"2004-07-31" "2004-07-31" 189.1 196.8 187.3 189.9 162.3 310.8 305.1
"2004-08-31" "2004-08-31" 189.2 196.9 187.5 190.3 162.1 311.8 305.9
"2004-09-30" "2004-09-30" 189.8 197.5 187.4 190.8 163.4 312.9 306.5
"2004-10-31" "2004-10-31" 190.8 197.9 188.3 191.2 166.7 314 306.9
"2004-11-30" "2004-11-30" 191.7 198.3 188.9 191.8 169.1 314.7 307.4
"2004-12-31" "2004-12-31" 191.7 198.6 188.9 192.1 168.5 315.8 308.2
"2005-01-31" "2005-01-31" 191.6 199 189.1 192.3 166.5 316.9 309.6
"2005-02-28" "2005-02-28" 192.4 199.4 189.2 193 168.4 318.4 310.5
"2005-03-31" "2005-03-31" 193.1 200.1 189.6 193.9 169.2 319.7 310.9
"2005-04-30" "2005-04-30" 193.7 200.2 190.8 194.3 170.3 320.7 311.2
"2005-05-31" "2005-05-31" 193.6 200.5 191 194.6 168.7 321.8 312.1
"2005-06-30" "2005-06-30" 193.7 200.6 191 194.6 169.1 322.8 312.2
"2005-07-31" "2005-07-31" 194.9 200.9 191.4 195.4 172.8 324.1 314
"2005-08-31" "2005-08-31" 196.1 201.1 191.5 195.9 177.3 324.2 314.9
"2005-09-30" "2005-09-30" 198.8 201.3 191.9 196.8 187.7 325.3 315.2
"2005-10-31" "2005-10-31" 199.1 202 192.4 198.7 184.5 326.9 315.4
"2005-11-30" "2005-11-30" 198.1 202.5 193 199.5 176.8 328.7 316.5
"2005-12-31" "2005-12-31" 198.1 202.8 193.3 199.6 176 329.2 317.6
"2006-01-31" "2006-01-31" 199.3 203.2 194.1 200.5 179 329.6 318.4
"2006-02-28" "2006-02-28" 199.4 203.6 194.2 200.8 178.5 331.2 318.9
"2006-03-31" "2006-03-31" 199.7 204.3 194.4 201.2 178.1 332.6 319.7
"2006-04-30" "2006-04-30" 200.7 204.8 194.3 201.6 181.8 333.8 319.6
"2006-05-31" "2006-05-31" 201.3 205.4 194.7 202.3 182.7 335 319.9
"2006-06-30" "2006-06-30" 201.8 205.9 195.3 202.8 183 336 321.3
"2006-07-31" "2006-07-31" 202.9 206.3 195.7 203.4 186.9 336.9 321.4
"2006-08-31" "2006-08-31" 203.8 206.8 196.2 204.1 188.4 338.1 322.2
"2006-09-30" "2006-09-30" 202.8 207.2 196.8 204.7 181.5 339.1 323.6
"2006-10-31" "2006-10-31" 201.9 207.6 197.4 204.8 175.9 340 324.3
"2006-11-30" "2006-11-30" 202 207.8 197.4 205.5 174.9 340.8 324.6
"2006-12-31" "2006-12-31" 203.1 208.1 197.5 206.2 178.3 341.2 326.9
"2007-01-31" "2007-01-31" 203.437 208.6 198.813 206.788 177.09 343.579 329.324
"2007-02-28" "2007-02-28" 204.226 209.135 200.126 207.536 177.727 345.35 330.358
"2007-03-31" "2007-03-31" 205.288 209.418 200.853 208.119 181.041 345.899 330.746
"2007-04-30" "2007-04-30" 205.904 209.747 201.392 208.518 182.489 347.32 331.238
"2007-05-31" "2007-05-31" 206.755 210.058 202.157 208.883 184.669 348.491 332.37
"2007-06-30" "2007-06-30" 207.234 210.392 202.977 209.561 184.902 349.513 333.24
"2007-07-31" "2007-07-31" 207.603 210.773 203.64 209.743 185.396 351.719 333.636
"2007-08-31" "2007-08-31" 207.667 211.119 204.418 210.004 184.328 353.376 334.011
"2007-09-30" "2007-09-30" 208.547 211.554 205.347 210.5 186.324 354.531 335.072
"2007-10-31" "2007-10-31" 209.19 212.077 205.988 211.057 186.922 356.343 335.718
"2007-11-30" "2007-11-30" 210.834 212.66 206.789 211.864 192.289 357.75 336.539
"2007-12-31" "2007-12-31" 211.445 213.168 207.141 212.418 193.205 358.908 337.628
"2008-01-31" "2008-01-31" 212.174 213.771 208.392 212.873 194.135 360.463 339.214
"2008-02-29" "2008-02-29" 212.687 213.939 209.183 213.377 194.934 360.75 340.205
"2008-03-31" "2008-03-31" 213.448 214.42 209.595 214.422 195.872 361.533 341.433
"2008-04-30" "2008-04-30" 213.942 214.56 211.368 214.997 195.179 362.072 342.819
"2008-05-31" "2008-05-31" 215.208 214.936 212.204 215.866 198.535 362.658 344.316
"2008-06-30" "2008-06-30" 217.463 215.424 213.452 216.864 206.313 363.671 345.724
"2008-07-31" "2008-07-31" 219.016 215.965 215.449 218.014 209.349 364.156 347.013
"2008-08-31" "2008-08-31" 218.69 216.393 216.53 218.053 205.848 364.977 347.691
"2008-09-30" "2008-09-30" 218.877 216.713 217.749 217.836 205.856 365.841 348.427
"2008-10-31" "2008-10-31" 216.995 216.788 218.632 217.705 195.608 366.53 349.266
"2008-11-30" "2008-11-30" 213.153 216.947 219.079 217.585 175.507 367.459 349.164
"2008-12-31" "2008-12-31" 211.398 216.925 219.151 217.469 166.673 368.748 349.221
"2009-01-31" "2009-01-31" 211.933 217.346 219.323 217.631 168.403 369.824 350.554
"2009-02-28" "2009-02-28" 212.705 217.792 219.058 217.563 171.424 370.853 351.351
"2009-03-31" "2009-03-31" 212.495 218.253 218.682 217.458 169.449 371.705 360.757
"2009-04-30" "2009-04-30" 212.709 218.706 218.372 217.304 170.09 373.077 369.865
"2009-05-31" "2009-05-31" 213.022 218.904 218.053 216.99 172.235 374.359 369.539
"2009-06-30" "2009-06-30" 214.79 219.112 218.092 216.955 180.667 375.177 370.441
"2009-07-31" "2009-07-31" 214.726 219.263 217.725 216.581 180.915 376.001 373.032
"2009-08-31" "2009-08-31" 215.445 219.496 217.738 216.729 183.729 377.091 373.331
"2009-09-30" "2009-09-30" 215.861 219.92 217.664 216.68 185.329 378.359 374.47
"2009-10-31" "2009-10-31" 216.509 220.501 217.881 216.942 187.793 379.291 375.476
"2009-11-30" "2009-11-30" 217.234 220.666 218.055 216.962 191.243 380.45 376.742
"2009-12-31" "2009-12-31" 217.347 220.881 218.341 216.899 191.517 381.111 377.436
"2010-01-31" "2010-01-31" 217.488 220.633 218.855 216.206 193.116 382.742 377.727
"2010-02-28" "2010-02-28" 217.281 220.731 218.898 216.042 191.978 384.308 378.029
"2010-03-31" "2010-03-31" 217.353 220.783 219.321 216.146 191.375 385.712 378.614
"2010-04-30" "2010-04-30" 217.403 220.822 219.531 216.092 191.249 386.589 378.758
"2010-05-31" "2010-05-31" 217.29 220.962 219.651 216.128 190.231 387.094 380.191
"2010-06-30" "2010-06-30" 217.199 221.194 219.627 216.06 189.426 388.188 381.1
"2010-07-31" "2010-07-31" 217.605 221.363 219.643 216.214 191.082 388.123 382.831
"2010-08-31" "2010-08-31" 217.923 221.509 219.879 216.254 192.287 389.059 383.804
"2010-09-30" "2010-09-30" 218.275 221.711 220.598 216.234 193.316 391.288 383.444
"2010-10-31" "2010-10-31" 219.035 221.83 220.911 216.359 196.845 391.926 382.698
"2010-11-30" "2010-11-30" 219.59 222.149 221.315 216.484 198.783 392.535 383.801
"2010-12-31" "2010-12-31" 220.472 222.343 221.556 216.823 202.454 393.514 384.476
"2011-01-31" "2011-01-31" 221.187 222.803 222.735 217.061 204.232 394.072 384.657
"2011-02-28" "2011-02-28" 221.898 223.213 223.734 217.443 205.704 395.518 385.482
"2011-03-31" "2011-03-31" 223.046 223.454 225.337 217.794 209.591 396.29 385.545
"2011-04-30" "2011-04-30" 224.093 223.727 226.18 218.186 213.032 397.701 386.226
"2011-05-31" "2011-05-31" 224.806 224.175 227.045 218.521 214.499 398.721 386.125
"2011-06-30" "2011-06-30" 224.806 224.697 227.603 218.808 212.957 399.416 386.544
"2011-07-31" "2011-07-31" 225.395 225.218 228.473 219.386 213.661 400.539 386.088
"2011-08-31" "2011-08-31" 226.106 225.862 229.577 219.802 214.651 401.387 386.871
"2011-09-30" "2011-09-30" 226.597 226.118 230.561 220.152 215.455 402.202 388.321
"2011-10-31" "2011-10-31" 226.75 226.506 230.776 220.447 214.682 404.068 389.023
"2011-11-30" "2011-11-30" 227.169 226.899 230.976 220.685 215.149 405.751 390.809
"2011-12-31" "2011-12-31" 227.223 227.405 231.392 220.966 213.784 407.23 391.069
"2012-01-31" "2012-01-31" 227.842 227.877 232.131 221.096 215.385 408.394 391.455
"2012-02-29" "2012-02-29" 228.329 228.034 232.103 221.299 217.686 408.89 391.221
"2012-03-31" "2012-03-31" 228.807 228.478 232.502 221.579 218.457 410.257 392.109
"2012-04-30" "2012-04-30" 229.187 228.905 232.934 221.992 218.615 411.475 393.178
"2012-05-31" "2012-05-31" 228.713 229.224 233.127 222.069 215.029 412.864 393.56
"2012-06-30" "2012-06-30" 228.524 229.623 233.624 222.319 212.225 415.289 394.369
"2012-07-31" "2012-07-31" 228.59 229.97 233.752 222.508 211.791 417.004 395.113
"2012-08-31" "2012-08-31" 229.918 230.233 234.108 223.031 217.573 417.555 395.837
"2012-09-30" "2012-09-30" 231.015 230.659 234.286 223.463 221.574 418.453 396.005
"2012-10-31" "2012-10-31" 231.638 231.024 234.694 223.949 222.913 419.07 396.37
"2012-11-30" "2012-11-30" 231.249 231.33 235.1 224.504 218.833 419.509 396.766
"2012-12-31" "2012-12-31" 231.221 231.725 235.521 224.757 217.524 420.321 396.873
"2013-01-31" "2013-01-31" 231.679 232.229 235.86 225.106 218.092 421.114 397.188
"2013-02-28" "2013-02-28" 232.937 232.569 235.903 225.58 223.274 421.601 398.291
"2013-03-31" "2013-03-31" 232.282 232.794 236.13 225.769 218.985 423.089 399.455
"2013-04-30" "2013-04-30" 231.797 232.832 236.574 226.299 214.905 423.025 400.657
"2013-05-31" "2013-05-31" 231.893 232.996 236.387 226.949 214.01 422.316 400.586
"2013-06-30" "2013-06-30" 232.445 233.35 236.912 227.324 215.38 424.286 400.578
"2013-07-31" "2013-07-31" 232.9 233.88 237.133 227.579 216.562 425.008 401.052
"2013-08-31" "2013-08-31" 233.456 234.336 237.407 227.911 217.901 427.168 402.087
"2013-09-30" "2013-09-30" 233.544 234.7 237.464 228.354 216.898 428.29 402.456
"2013-10-31" "2013-10-31" 233.669 234.921 237.693 228.584 216.682 428.586 402.588
"2013-11-30" "2013-11-30" 234.1 235.359 237.895 229.119 217.17 428.485 403.177
"2013-12-31" "2013-12-31" 234.719 235.759 238.133 229.623 218.715 428.622 403.905
"2014-01-31" "2014-01-31" 235.347 235.983 238.425 230.568 219.468 430.061 404.831
"2014-02-28" "2014-02-28" 235.522 236.172 239.164 231.109 218.395 431.1 405.917
"2014-03-31" "2014-03-31" 235.956 236.622 240.157 232.124 217.116 432.314 406.863
"2014-04-30" "2014-04-30" 236.463 237.07 240.959 232.018 218.957 433.29 407.401
"2014-05-31" "2014-05-31" 236.867 237.541 242.048 232.784 218.01 434.446 407.69
"2014-06-30" "2014-06-30" 237.188 237.833 242.313 233.086 218.42 435.413 408.095
"2014-07-31" "2014-07-31" 237.485 238.232 242.878 233.664 218.062 436.071 408.181
"2014-08-31" "2014-08-31" 237.439 238.405 243.564 233.923 216.964 435.982 408.647
"2014-09-30" "2014-09-30" 237.452 238.777 244.203 234.197 215.396 436.819 408.94
"2014-10-31" "2014-10-31" 237.447 239.188 244.559 234.629 213.926 437.53 410.238
"2014-11-30" "2014-11-30" 237.042 239.412 245.144 235.008 210.384 439.187 409.934
"2014-12-31" "2014-12-31" 236.27 239.572 245.881 235.448 204.221 441.324 410.457
"2015-01-31" "2015-01-31" 234.836 239.845 245.77 235.79 195.188 441.387 412.264
"2015-02-28" "2015-02-28" 235.274 240.136 246.004 236.229 196.644 441.042 411.839
"2015-03-31" "2015-03-31" 235.956 240.749 245.649 236.607 198.988 442.987 412.514
"2015-04-30" "2015-04-30" 236.165 241.346 245.601 237.129 198.158 445.936 412.589
"2015-05-31" "2015-05-31" 236.952 241.644 245.851 237.224 201.961 446.785 413.323
"2015-06-30" "2015-06-30" 237.618 242.039 246.56 237.773 203.606 446.41 415.081
"2015-07-31" "2015-07-31" 237.993 242.543 246.737 238.305 203.998 446.896 415.11
"2015-08-31" "2015-08-31" 237.989 242.788 247.274 238.677 202.482 446.653 415.365
"2015-09-30" "2015-09-30" 237.467 243.306 247.995 239.172 197.184 447.544 416.299
"2015-10-31" "2015-10-31" 237.764 243.765 248.31 239.544 196.79 450.612 417.87
"2015-11-30" "2015-11-30" 238.072 244.272 248.078 240 197.021 452.127 418.442
"2015-12-31" "2015-12-31" 237.827 244.59 247.749 240.283 195.053 452.707 418.097
"2016-01-31" "2016-01-31" 237.99 245.134 247.892 240.717 194.114 454.569 418.829
"2016-02-29" "2016-02-29" 237.532 245.689 248.179 241.206 189.471 456.471 419.607
"2016-03-31" "2016-03-31" 238.022 246.004 247.65 241.665 191.197 457.553 420.688
"2016-04-30" "2016-04-30" 238.843 246.487 247.949 242.142 193.597 459.268 421.306
"2016-05-31" "2016-05-31" 239.439 247.031 247.6 242.848 194.745 460.751 422.317
"2016-06-30" "2016-06-30" 240.074 247.436 247.55 243.481 196.469 462.281 422.94
"2016-07-31" "2016-07-31" 240.058 247.812 247.462 244.185 194.577 464.321 423.264
"2016-08-31" "2016-08-31" 240.569 248.4 247.517 244.863 194.576 468.463 423.951
"2016-09-30" "2016-09-30" 241.017 248.716 247.53 245.656 195.249 469.456 425.516
"2016-10-31" "2016-10-31" 241.667 249.064 247.552 246.388 197.093 469.834 425.413
"2016-11-30" "2016-11-30" 242.081 249.519 247.447 246.956 197.739 470.107 426.101
"2016-12-31" "2016-12-31" 242.784 249.996 247.462 247.571 199.776 471.116 426.965
"2017-01-31" "2017-01-31" 244.028 250.661 247.781 248.206 203.835 472.105 427.388
"2017-02-28" "2017-02-28" 244.102 251.088 248.358 248.861 201.79 472.634 427.948
"2017-03-31" "2017-03-31" 243.717 250.904 248.946 249.169 200.19 473.45 428.352
"2017-04-30" "2017-04-30" 244.087 251.125 249.368 249.889 200.38 472.839 432.498
"2017-05-31" "2017-05-31" 243.911 251.331 249.759 250.429 198.159 472.973 432.347
"2017-06-30" "2017-06-30" 244.032 251.69 249.741 250.842 197.539 474.649 433.134
"2017-07-31" "2017-07-31" 244.236 252.05 250.13 251.153 196.926 476.317 433.9
"2017-08-31" "2017-08-31" 245.262 252.61 250.319 252.009 200.142 476.941 433.223
"2017-09-30" "2017-09-30" 246.392 252.943 250.606 252.509 204.528 476.825 434.123
"2017-10-31" "2017-10-31" 246.583 253.484 250.799 253.23 203.328 477.719 436.114
"2017-11-30" "2017-11-30" 247.411 253.791 250.896 253.856 206.395 477.956 436.378
"2017-12-31" "2017-12-31" 247.91 254.398 251.358 254.597 206.735 479.477 435.634
"2018-01-31" "2018-01-31" 249.245 255.287 251.809 255.137 210.477 481.457 437.455
"2018-02-28" "2018-02-28" 249.619 255.751 251.84 255.875 210.505 480.949 438.264
"2018-03-31" "2018-03-31" 249.462 256.2 252.162 256.555 207.991 482.852 439.285
"2018-04-30" "2018-04-30" 250.013 256.45 252.837 257.321 208.497 483.271 442.863
